Timestamp (Unix),Date (YYYY-MM-DD),Location,Weekly Average,Weekly Change,Variation,Weekly Low,Weekly High
1599919200.0,2020-09-13,Sydney,124.4,-9.6,-,118.8,129.7
1599919200.0,2020-09-13,Canberra,122.2,-0.1,-2.1,122.0,122.3
1599919200.0,2020-09-13,Batemans Bay,122.6,0.1,-1.8,122.6,122.6
1599919200.0,2020-09-13,Coffs Harbour,119.5,-0.0,-4.9,119.4,119.5
1599919200.0,2020-09-13,Cooma,123.5,-0.1,-0.8,123.3,123.7
1599919200.0,2020-09-13,Goulburn,119.0,-0.6,-5.4,118.2,119.6
1599919200.0,2020-09-13,Wollongong,123.9,-2.4,-0.5,123.3,124.7
1599919200.0,2020-09-13,Yass,120.0,0.3,-4.3,119.5,121.8
1600524000.0,2020-09-20,Sydney,124.4,-9.6,-,118.8,129.7
1600524000.0,2020-09-20,Canberra,122.2,-0.1,-2.1,122.0,122.3
1600524000.0,2020-09-20,Batemans Bay,122.6,0.1,-1.8,122.6,122.6
1600524000.0,2020-09-20,Coffs Harbour,119.5,-0.0,-4.9,119.4,119.5
1600524000.0,2020-09-20,Cooma,123.5,-0.1,-0.8,123.3,123.7
1600524000.0,2020-09-20,Goulburn,119.0,-0.6,-5.4,118.2,119.6
1600524000.0,2020-09-20,Wollongong,123.9,-2.4,-0.5,123.3,124.7
1600524000.0,2020-09-20,Yass,120.0,0.3,-4.3,119.5,121.8
1601128800.0,2020-09-27,Sydney,113.8,-10.6,-,110.5,117.7
1601128800.0,2020-09-27,Canberra,122.0,-0.2,+8.2,121.7,122.9
1601128800.0,2020-09-27,Batemans Bay,122.6,0.0,+8.8,122.6,122.6
1601128800.0,2020-09-27,Coffs Harbour,119.3,-0.1,+5.6,119.3,119.4
1601128800.0,2020-09-27,Cooma,123.1,-0.5,+9.3,122.9,123.3
1601128800.0,2020-09-27,Goulburn,117.3,-1.6,+3.6,117.0,118.1
1601128800.0,2020-09-27,Wollongong,122.2,-1.6,+8.5,121.6,122.9
1601128800.0,2020-09-27,Yass,120.8,0.7,+7.0,119.7,122.8
1601733600.0,2020-10-04,Sydney,114.1,5.7,-,109.6,120.7
1601733600.0,2020-10-04,Canberra,120.8,-0.6,+6.7,120.2,120.9
1601733600.0,2020-10-04,Batemans Bay,122.6,0.0,+8.5,122.6,122.6
1601733600.0,2020-10-04,Coffs Harbour,119.5,0.2,+5.4,119.5,119.5
1601733600.0,2020-10-04,Cooma,122.6,-0.2,+8.6,122.5,122.8
1601733600.0,2020-10-04,Goulburn,116.6,-0.4,+2.5,116.4,117.0
1601733600.0,2020-10-04,Wollongong,119.9,-1.1,+5.8,119.7,120.2
1601733600.0,2020-10-04,Yass,119.8,0.0,+5.7,119.1,120.3
1602334800.0,2020-10-11,Sydney,132.0,18.0,-,124.1,135.7
1602334800.0,2020-10-11,Canberra,120.9,0.2,-11.1,120.9,121.2
1602334800.0,2020-10-11,Batemans Bay,122.7,0.1,-9.3,122.6,123.1
1602334800.0,2020-10-11,Coffs Harbour,119.5,0.0,-12.5,119.5,119.5
1602334800.0,2020-10-11,Cooma,122.6,-0.0,-9.5,122.5,122.7
1602334800.0,2020-10-11,Goulburn,116.4,-0.2,-15.6,116.4,116.4
1602334800.0,2020-10-11,Wollongong,120.0,0.1,-12.1,119.8,120.2
1602334800.0,2020-10-11,Yass,120.1,0.3,-11.9,119.6,121.8
1602939600.0,2020-10-18,Sydney,132.0,18.0,-,124.1,135.7
1602939600.0,2020-10-18,Canberra,120.9,0.2,-11.1,120.9,121.2
1602939600.0,2020-10-18,Batemans Bay,122.7,0.1,-9.3,122.6,123.1
1602939600.0,2020-10-18,Coffs Harbour,119.5,0.0,-12.5,119.5,119.5
1602939600.0,2020-10-18,Cooma,122.6,-0.0,-9.5,122.5,122.7
1602939600.0,2020-10-18,Goulburn,116.4,-0.2,-15.6,116.4,116.4
1602939600.0,2020-10-18,Wollongong,120.0,0.1,-12.1,119.8,120.2
1602939600.0,2020-10-18,Yass,120.1,0.3,-11.9,119.6,121.8
1603544400.0,2020-10-25,Sydney,118.6,-11.4,-,113.6,124.2
1603544400.0,2020-10-25,Canberra,121.0,0.0,+2.3,120.2,121.1
1603544400.0,2020-10-25,Batemans Bay,123.1,0.0,+4.5,123.1,123.1
1603544400.0,2020-10-25,Coffs Harbour,119.5,0.0,+0.9,119.5,119.5
1603544400.0,2020-10-25,Cooma,122.0,-0.5,+3.4,121.7,122.8
1603544400.0,2020-10-25,Goulburn,116.4,0.0,-2.2,116.4,116.4
1603544400.0,2020-10-25,Wollongong,119.1,-0.5,+0.5,119.0,119.3
1603544400.0,2020-10-25,Yass,119.9,-0.4,+1.2,119.7,120.7
1604149200.0,2020-11-01,Sydney,108.7,-9.9,-,106.1,112.6
1604149200.0,2020-11-01,Canberra,121.0,0.0,+12.3,121.0,121.1
1604149200.0,2020-11-01,Batemans Bay,123.1,0.0,+14.4,123.1,123.1
1604149200.0,2020-11-01,Coffs Harbour,119.5,0.0,+10.8,119.5,119.5
1604149200.0,2020-11-01,Cooma,121.7,-0.3,+13.0,121.7,121.7
1604149200.0,2020-11-01,Goulburn,116.4,-0.0,+7.6,116.3,116.4
1604149200.0,2020-11-01,Wollongong,118.2,-0.9,+9.5,117.5,118.9
1604149200.0,2020-11-01,Yass,119.9,-0.0,+11.1,119.3,120.7
